Conflict_ID,Region,Conflict_Type,Start_Date,End_Date,Number_of_Incidents,Number_of_Deaths,Intervention_ID,Intervention_Country,Intervention_Organization,Intervention_Type,Intervention_Start_Date,Intervention_End_Date,Intervention_Success,Country,Population,GDP_Per_Capita,Unemployment_Rate,Poverty_Index,Literacy_Rate,Ethnic_Group,Main_Religion,Ethnic_Religious_Tension,Number_of_Conflicts,Last_Conflict_Date,Corruption_Index,Governance_Quality,Government_Transparency,Number_of_Scandals,Number_of_Displaced_People,Number_of_Refugees,Humanitarian_Needs,Access_to_Humanitarian_Aid,Technology_Use_in_Conflicts,Technological_Investment,Number_of_Data_Analysis_Projects,Data_Analysis_Effectiveness
1,Afghanistan,terrorism,2010-01-01,,48,820,1,Iraq,Red Cross,military,2010-01-01,,yes,Iran,18242642,47141,13.84,49.28,67.75,Arab,Shia Islam,low,10,2020-01-01,6.9,5,8,6,1097330,973012,medicine,high,low,40,12,7
2,Afghanistan,civil war,2010-01-02,2023-01-01,18,284,2,Afghanistan,Red Cross,military,2010-01-02,,partial,Iran,21810198,20535,27.16,32.89,73.23,Baluchi,Shia Islam,high,15,2020-01-02,9.0,6,7,2,4064229,1822404,shelter,low,medium,71,48,2
3,Iran,terrorism,2010-01-03,2023-01-01,55,29,3,Yemen,UN,humanitarian,2010-01-03,2023-01-01,yes,Syria,23300304,2849,30.28,21.97,83.57,Kurd,Christianity,high,9,2020-01-03,4.03,2,2,4,1308294,1392299,shelter,medium,high,42,4,1
4,Iran,territorial conflict,2010-01-04,2023-01-01,14,458,4,Afghanistan,Red Cross,military,2010-01-04,,no,Syria,28439302,37069,18.64,6.66,60.53,Turkoman,Christianity,low,3,2020-01-04,7.34,3,4,6,92928,878925,medicine,medium,medium,18,30,4
5,Iraq,terrorism,2010-01-05,2023-01-01,34,935,5,Iraq,Red Cross,humanitarian,2010-01-05,2023-01-01,no,Yemen,30822711,44350,36.74,15.39,61.58,Turkoman,Christianity,low,10,2020-01-05,2.1,6,4,5,3494593,1090382,water,medium,low,76,11,8
6,Iraq,civil war,2010-01-06,2023-01-01,12,50,6,Iraq,Red Cross,humanitarian,2010-01-06,2023-01-01,partial,Iraq,17455592,32879,30.61,37.16,79.3,Baluchi,Christianity,medium,13,2020-01-06,7.62,3,6,8,1015345,466694,food,medium,medium,70,31,1
7,Iraq,terrorism,2010-01-07,,66,532,7,Afghanistan,NATO,diplomatic,2010-01-07,2023-01-01,partial,Iraq,35595053,48067,20.12,53.77,79.63,Persian,Christianity,medium,6,2020-01-07,6.84,4,3,0,4707122,1556456,medicine,high,medium,60,47,4
8,Iran,civil war,2010-01-08,2023-01-01,45,874,8,Iran,UN,military,2010-01-08,,partial,Iraq,2472420,5305,45.29,18.82,78.05,Kurd,Christianity,medium,11,2020-01-08,7.89,4,4,9,3327623,1784142,food,medium,low,5,11,6
9,Yemen,civil war,2010-01-09,2023-01-01,47,975,9,Iran,NATO,humanitarian,2010-01-09,,no,Afghanistan,24921224,21861,39.07,13.19,81.39,Arab,Christianity,low,17,2020-01-09,2.77,3,7,2,3197365,817192,food,low,medium,48,44,9
10,Afghanistan,territorial conflict,2010-01-10,,21,390,10,Afghanistan,NATO,diplomatic,2010-01-10,2023-01-01,no,Syria,6134015,19951,42.05,36.6,70.03,Kurd,Christianity,low,3,2020-01-10,8.07,6,6,4,352283,1821240,medicine,medium,medium,70,5,4
